Sl.No,Ass.No,Name ,Author,Column2,Subject,Material,lang,Size,No.of F,N.of/pg,l/line,extent,condetions,info,,
1,1,??????? ????? - ??????,?????????,Rajashekhara vilasa - virashaiva,Kavya,PL,Knn,33x5.5,1&128,11,60,C,G,²æÃ ²ªÀ°AUÁAiÀÄªÉ £ÀªÀÄB,,
2,2,????????? ????? - ??????, ?????? ??? ,Praudharayana kavya - virashaiva,Kavya,P,Knn,32x11,1&50,11,40,Inc,G,,,
3,3,???????? ????? - ??????,??????????,Raghavamkana kavya - virashaiva,Kavya,PL,Knn,36x5,1&150,5,65,Inc,,¥ÀæPÀnvÀ,,
4,3,???????? ????? - ??????,?????????? ,Raghavamkana kavya - virashaiva,Kavya,P,Knn,30x14,1&125,13,35,Inc,O/D,,,
5,4,????????  ??? ????????? – ??????,???????? ?????,Shat?sthala  vachana vyakhyana – virashaiva,Vacana,P,Knn,33x10,1&577,11,50,C,O,,,
6,5,??? ??????? ????? - ??????,????????,Basava charitra purana - virashaiva,Kavya,P,Knn,31x11,1&236,9,50,C,G,,,
7,5,??????? ???????? – ??????,?????? ?????????,Ganabhashita ratnamal – virashaiva,Vacana,PL,Knn,38x6.5,1&58,9,70,C,D/W,,,
8,6,??????? ???????? ????? - ??????,?????????? ,Kttura basaveshvara purana - virashaiva,Kavya,P,Knn,31x11,1&16,11,50,Inc,G,,,
9,6,???????? ????? - ??????,??????????,Raghavamkana kavya - virashaiva,Kavya,PL,Knn,36x5,6&143,9,90,Inc,O/D/W,,,
10,7,????? ???????? - ??????,?????? ???????,Viveka chimtamani - virashaiva,Kavya,PL,Knn,35x5,36&62,12,98,Inc,O,,,
11,7,????? ??????? ??? – ??????,,Ella puratanara vachana – virashaiva,Vacana,P,Knn,31x11,1&124,14,45,C,G,"±Á. ±ÀPÀ 1704 ±ÀÄ¨sÀPÀÈvÀÄ ¸ÀA. ¥ÀÄ£ÀªÀğ¸ÀÄ ¸ÀæAiÉÆÃzÀ², UÀÄgÀÄªÁgÀ.",,
12,8,?????????? ?????? - ??????,,Chitkiçya samgraha - virashaiva,Kavya,PL,Knn,32x6,27&44,13,80,C,O,,,
13,8,????? ?????? ?????? ??? ????????? – ??????,??????????? ?????,Ella puratana bdagina vachana vyakhyana – virashaiva,Vacana,P,Knn,14x20,1&30,17,20,Inc,OÄ,,,
14,9,????????? - ??????,????????????,Rudrabharata - virashaiva,Kavya,PL,Knn,35x6,1&80,10,65,C,O,,,
15,9,???????? ??????? ???? - ??????,,Sarvachara saramrrita sudha - virashaiva,Kavya,P,Knn,34x11,3&64,8,60,Inc,O,,,
16,10,??? ??????? ????? - ??????,????????,Basava charitra purana - virashaiva,Kavya,P,Knn,32x11,1&320,8,45,C,G,,,
17,10,?????? ?????? - ??????,??????,Mamgaraja nighamtu - virashaiva,Nighantu,PL,Knn,33x4.5,1&50,10,65,C,G/O,,,
18,11,?????? ???? ?????? ?????     - ??????,??????? ???,Aravatta muru puratana purana     - virashaiva,Kavya,P,Knn,34x10,1&133,30,35,C,G/O,±ÀPÀ 1821 «PÁj £ÁªÀÄ ¸ÀA. zÀQëuÁAiÀÄ£À ºÉÃªÀÄAvÀ IÄvÀÄ§ ªÀiÁUÀğ²gÀ ªÀiÁ¸À – UÀÄgÀÄªÁgÀ,,
19,12,??? ????? - ??????,??????,Basava purana - virashaiva,Kavya,PL,Knn,36x5,1&222,9,65,Inc,O/D,PÁ®: 1369,,
20,12,???????? ????????? ??? – ??????,?????? ??????,Shat?sthala akhamdeshvara vachana – virashaiva,Vacana,P,Knn,26x11,1&152,10,35,Inc,O/D,§tÚzÀ ºÀ®UÉ,,
21,13,???????? ????????? ??? – ??????,?????? ??????,Shat?sthala akhamdeshvara vachana – virashaiva,Vacana,P,Knn,33x10,1&146,9,45,C,G,±ÀPÀ1785 gÀÄ¢ügÉÆÃzÁÎj ¸ÀA. ªÉÊ±ÁR ±ÀÄPÀè¥ÀPÀë 9 ¸ËªÀÄåªÁ¸ÀgÉ ªÀÄÈUÀ²gÀ £ÀPÀëvÀæ,,
22,13/1,???? ???? ????? - ??????,???????? ???,Guru ragal satiku - virashaiva,Kavya,PL,Knn,34x5,1&47,9,60,C,G,PÁ® 1165,,
23,13/2,??????????? ????? - ??????,???????,Chama rajemdra kavya - virashaiva,Kavya,PL,Knn,34x5,1&74,9,60,Inc,G,,,
24,13/4,????????? – ??????,???????????,Srrishtivachana – virashaiva,Vacana,PL,Knn,35x5,14,11,100,Inc,O/D,,,
25,14,???????????? - ??????,?????? ?????? ?????????,Rajemdravijaya - virashaiva,Kavya,PL,Knn,35x5,1&33,10,65,Inc,G,,,
26,14,???????? ????????? ??? – ??????,?????? ??????,Shat?sthala akhamdeshvara vachana – virashaiva,Vacana,P,Knn,29x10,1&135,9,35,C,G,,,
27,15,???????? ????????? ??? – ??????,?????? ??????,Shat?sthala akhamdeshvara vachana – virashaiva,Vacana,P,Knn,30x10,1&105,10,45,C,G/O,,,
28,15/1,??????? ????????? - ??????,?????? ?????????,Karnataka shabdamamjari - virashaiva,Nighantu,PL,Knn,33x5,1&6,12,70,C,G,,,
29,15/2,??????????????,???????,Namalimganushasana,Nighantu,PL,Knn,33x5,1&8,12,70,Inc,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ ¥ÀæxÀªÀÄPÁAqÀ ¹AºÀªÀUÀğ,,
30,15/3,????????????????? - ??????,?????? ?????????,Bhavachimtaratnadanudi - virashaiva,Kavya,PL,Knn,33x5,1&85,12,70,C,G,"¸ÀvÉåÃAzÀæ ZÉÆÃ¼À£À ZÀjvÉ, ¥ÀAZÁPÀëj ªÀÄAvÀæ ªÀÄºÀvÀé, ¸ÀnÃPÀÄ",,
31,16,???????? ????????? ??? – ??????,?????? ??????,Shat?sthala akhamdeshvara vachana – virashaiva,Vacana,P,Knn,40x13,1&89,15,20,C,G,±ÀPÀ1799 F±ÀégÀ £ÁªÀÄ ¸ÀA. DµÁqÀ §ºÀÄ¼À 12 zÁézÀ² ZÀBzÀæªÁgÀ,,
32,16/1,???????? - ??????,,Karanahasig - virashaiva,Extra,PL,Knn,35x5,1&11,11,100,C,G/O,,,
33,16/2,?????????? – ??????,??????? ?????,Mishrarpana – virashaiva,Extra,PL,Knn,35x5,11&12,11,100,C,O/D,,,
34,16/3,??????? - ??????,???? ??????,Pamchikarana - virashaiva,Kavya,PL,Knn,35x5,13 Leaf,11,100,Inc,O/D,,,
35,16/5,????????? ???,,Shrirudra kavacha,Vedamantra ,PL,Knn,35x5,15,11,100,Inc,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
36,16/5,????????? ??? - ????????,,Shrirudra kavacha - vedamamtra,Tantra-mantra-agama,PL,Knn,35x5,15 Leaf,11,100,Inc,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
37,16/6,??????????????? – ?????? ,,Lingadharanopanishat – virashaiva,Upanishat,PL,Knn,35x5,15&20,11,100,Inc,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
38,17,?????????????? ????? - ??????, ???????,Revanasiddheshvara purana - virashaiva,Kavya,P,Knn,32x10,1&90,7,40,C,G/O,,,
39,17/1,??????????? ???? ,??????,Brahmottara kamda,Kavya,PL,Knn,35x4.5,8 Leaf,8,70,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ ‘²ªÀªÀiÁºÁvÉäöå’ ‘±ÀAPÀgÀ«dAiÀÄ’ & ‘gÀWÀÄªÀA±À’ ¸ÀnÃPÀÄ ±ÉÆèÃPÀUÀ¼ÀÄ,,
40,18,?????????????? ????? - ??????,???????,Revanasiddheshvara purana - virashaiva,Kavya,P,Knn,34x10.5,1&81,8,60,C,G,,,
41,18,????? ???????? – ??????,?????? ???????,Viveka chimtamani – virashaiva,Kavya,PL,Knn,36x5.5,43 Leaf,11,75,Inc,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ ¥ÀæxÀªÀÄ ¥ÀgÀZÉÒÃzÀ,,
42,19,?????????????? ????? - ??????,???????,Revanasiddheshvara purana - virashaiva,Kavya,P,Knn,31x11,1&72,10,50,C,G,,,
43,19/1,????????? – ??????,????????????,Kaivalyasara – virashaiva,Kavya,PL,Knn,36x5,1&35,7,75,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ 101 ¸ÀÜ®«ªÉÃZÀ£É,,
44,19/2,????????? ???? - ??????,????????????,Kaivalyasara tiku - virashaiva,Kavya,PL,Knn,36x5,36&174,7,75,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
45,19/3,???????????,,Shabdarupavali,Vyakarana,PL,Knn,36x5,1&15,7,75,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
46,19/4,???? ????,,Samasa chakra,Vyakarana,PL,Knn,36x5,15&18,7,75,Inc,O,,,
47,20,?????????? - ??????,?????????,Basavarajavijaya - virashaiva,Kavya,PL,Knn,31x5,1&152,9,80,C,G/O,±ÀPÀ 1600 ¥ÀZÉÑPÀAvÉAiÀÄ PÀ¦à£À §¸ÀªÀ°AUÀAiÀÄå,,
