SL.No,Ass.No,Subject,Author,Column1,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
1,1,"???????
r?m?ya?a?",Valmiki,Itihasa,PL,N.Na,51x5,271,Itihasa,14,121,Inc,G,"Begining From : Uttara, Ayodhya, "
2,1,"?????? ??????
?gv?da sa?hit?",,Samhita,P,D,21.5x10,1 To 84,Samhita,8,32,Inc,G ,"Saka 1718, Year 1797 Anala Sam Gresma Rtu, Jesta suto15 induvara scribe: Kakan Kasa"
3,2,"?????? ??????
?gv?da sa?hit?",,Samhita,P,D,20x11,1 To 219,Samhita,10,21,Inc,G ,"I, II, V Astaka"
4,2/3,"????? ??????
v?san? bh??ya?",Nrsimha,Jautisha,PL,N. Na,48x6,96 To 220,Jautisha,11,92,C,OD,
5,3,"???????
r?m?ya?a?",Nrsimha,Itihasa,PL,N.Na,53x5,1 To 255,Itihasa,14,112,Inc.,G ,Balakanda to Yuddha kanda 
6,3,"?????? ??????
?gv?da sa?hit?",,Samhita,P,D,20x 9.5,1 To 105,Samhita,9,27,Inc.,Go,III Astaka
7,4,"???????
r?m?ya?a?",,Itihasa,PL,N.Na,49x6,11 To 218,Itihasa,9,96,Inc.,OD,Bala to Aranya kanda
8,4,"?????? ??????
?gv?da sa?hit?",,Samhita,P,D,21x10,1 To 77,Samhita,11,33,Inc.,OD,IV Astaka
9,5,"???????
r?m?ya?a?",,Itihasa,PL,N.Na,50x6,1 To 323,Itihasa,11,84,Inc.,G,Bala to Yuddha kanda
10,5,"?????? ??????
?gv?da sa?hit?",,Samhita,P,D,21 x 11,1 To 94,Samhita,10,30,Inc.,G,"VII Astaka, Saka to 1803, year 1882 varsa sam, Palguna sukla, Soumyavara, scribe : Sadasiva"
11,6,"?????? ??????
?gv?da sa?hit?",,Samhita,P,D,21x10,14 To 315,Samhita,11,25,Inc.,ODW,"I, VI, VIII Astaka Saka to 1772 to year to 1851 Sadarana sam, Asada Krishna Astami, scribe : Krishna Kakatkar"
12,6/1,"?????? ??????
kapardi k?rik?",???????, G- Prayoga   ,PL,N.Na,43x3.5,1 To 175, G- Prayoga   ,6,63,C,G,
13,7,"???? ??????????
k??i m?h?tmya?",???????,Purana,PL,N.Na,53x6,53 To 297,Purana,10,110,Inc.,OD,Many Folios Missing 
14,7,"????? ?????????
k???a yajusa?hit?",,Samhita,P,D,30x10.5,1 To 289,Samhita,13,52,C,ODW,"Saka 1674 to 1753 Angirasa sam Sravana Masa, Scribe : Krishna "
15,8,"??????? ??????????
h?l?sya m?h?tmya?",,Purana,PL,N.Na,46x6,1 To 151,Purana,9,70,C,G,From : Skanda Purana
16,8,"???????????????
n?mali?g?nu??sana?",Mahesvara,Nighantu,P,D,34x11,1 To 261,Nighantu,11,65,C,G,"Saka 1804, Year 1882, Citra Banusam, "
17,9,"????? ?????????
k???a yajusa?hit?",,Samhita,P,D,23.5x 11,1 To 631,Samhita,8,32,C,OD,"Saka 1848toyear 1927 Ksyasam, Scribe: Viswanatha Diksita"
18,9,"?????????? ???????
da?ap?r?am?sa pray?ga?",,shrouta- G- Prayoga   ,PL,N.Na,34x6,120Folios,shrouta- G- Prayoga   ,10,60,Inc.,OD,"Bodhayanasakha No. of. Folios, Subjects Missing"
19,10,"???????
r?m?ya?a?",,Itihasa,PL,N.Na,48x5,1 To 327,Itihasa,12,95,Inc.,G,""""
20,10,"????????????????
taittiriy?ra?yaka?",,aranyaka,P,D,20.5x10,1 To 99,aranyaka,9,25,C,G,"Sakato1705 to 1784 Sobansam Palguna Su to 3, Induvara "
21,11,"???????
r?m?ya?a?",,Itihasa,PL,N.Na,51x5,1 To 55,Itihasa,9,102,Inc.,G,
22,11,"????????????????
taittiriy?ra?yaka?",,aranyaka,P,D,21x11,1 To 143,aranyaka,10,27,C,G,"Sakato1834, 1913 Paridhavi sam, Scribe : Harihara"
23,12,"??? ????????
y?ga ratn?va?i",Srikanta Shiva ,Vaidya,PL,N.Na,49x5,1 To 59,Vaidya,8,96,Inc.,OD,
24,12,"????????????????
taittiriy?ra?yaka?",,aranyaka,P,D,21x11,95 To 105,aranyaka,11,35,Inc.,O,
25,13,"????????? ????????
taittir?ya br?hma?a",,Brahmana,P,D,21x10,1 To 355,Brahmana,10,30,C,OD,"Saka 1717 to 1796 Raksa sam Sravana Su, Purnima Guruvara "
26,13/1,"????????? ????
karmavip?ka ratna",Kamalakara Bhatta,Vaidya,PL,N.Na,49x5 ,105 To 114,Vaidya,9,95,Inc.,G,
27,13/2,"????????? ???????
?ivatattva ratn?kara",Keladi Basava ,Veerashaiva,PL,N. Na,49x5,14 To 280,Veerashaiva,9,95,Inc.,G,
28,14,"????? ?????????
k???a yajusa?hit?",,Samhita,P,D,21x10,1 To 465,Samhita,11,33,C,G,"Saka 1722to1801 Raudrisam, Marga, "
29,14/1,"????????? ????
karmavip?ka ratna",,Vaidya,PL,N.Na,49x5,1 To 114,Vaidya,9,80,C,G ,"Begining From, Anukramanika"
30,14/2,"???????? ????? ????
h?m?dri vrata? k???a",, G- Prayoga   ,PL,N.Na,49x5,1 To 60, G- Prayoga   ,9,80,Inc.,O,
